Year/Month;Vitamin C Price;Sorbitol Price;Weisheng Energy Cost;Soft Drink Production;Orange Juice Price Index;Cartel;Total quantity;Net Quantity
1998/1;5.19;0.398879787;1.064014833;99.03843726;1.601;0; -     ; -     
1998/2;5.072;0.393338025;1.019190337;100.8801498;1.568;0; -     ; -     
1998/3;5.267;0.387230776;0.917909679;103.9748041;1.587;0; -     ; -     
1998/4;5.418;0.37942707;0.942970704;105.7694967;1.634;0; -     ; -     
1998/5;5.295;0.371284072;1.014121381;114.1864176;1.589;0; -     ; -     
1998/6;5.287;0.364724435;0.969298481;118.4464677;1.633;0; -     ; -     
1998/7;5.351;0.367891156;1.013820137;117.090948;1.655;0; -     ; -     
1998/8;5.152;0.368795934;1.056094381;114.8326705;1.668;0; -     ; -     
1998/9;5.204;0.354246788;1.029705386;115.1420879;1.599;0; -     ; -     
1998/10;5.032;0.344706232;1.014796668;108.3597996;1.655;0; -     ; -     
1998/11;5.011;0.349569411;1.010515025;106.5160427;1.654;0; -     ; -     
1998/12;5.022;0.352962327;0.981345337;108.3474132;1.679;0; -     ; -     
1999/1;4.922;0.340555565;0.976974319;103.3412983;1.753;0; -     ; -     
1999/2;5.524;0.330455986;0.98531316;104.9243413;1.78;0; -     ; -     
1999/3;4.823;0.322878474;0.97614458;107.4758016;1.741;0; -     ; -     
1999/4;4.907;0.318128392;0.975586207;110.3715533;1.779;0; -     ; -     
1999/5;4.806;0.317676003;0.966417626;114.0365793;1.764;0; -     ; -     
1999/6;4.828;0.323387411;0.938590022;116.4770438;1.758;0; -     ; -     
1999/7;5.021;0.325140418;0.912209295;115.4828919;1.813;0; -     ; -     
1999/8;5.061;0.325140418;0.914240631;113.8101383;1.825;0; -     ; -     
1999/9;5.007;0.325140418;0.952639535;108.3610021;1.825;0; -     ; -     
1999/10;4.973;0.323557057;0.919192012;102.1691682;1.784;0; -     ; -     
1999/11;5.07;0.316318837;0.820585762;101.7735277;1.841;0; -     ; -     
1999/12;4.865;0.310437782;0.818329004;103.9970513;1.822;0; -     ; -     
2000/1;5.031;0.303086465;0.814764488;99.75034964;1.823;0; -     ; -     
